sentence,name,vshort,short,average,tall,vtall
Melissa 's height is 152.01 cm.,Melissa,0,0.9649206236818825,0.10968238171430057,6.468929991499916e-5,0
Herbert is 152.02 cm tall.,Herbert,0,0.9645915099335475,0.11016450129170204,6.481341088785501e-5,0
Maggie is 152.03 cm.,Maggie,0,0.9642598259366935,0.11064877556165598,6.493778979151054e-5,0
Regina is 152.05 cm.,Regina,0,0.963588688009804,0.11162382277076531,6.518735396403168e-5,0
Vicky 's height is 152.06 cm.,Vicky,0,0.9632492044134225,0.11211461305090967,6.531254052354919e-5,0
Ira is 152.08 cm tall.,Ira,0,0.9625623335782448,0.1131027704484565,6.556372582851822e-5,0
Bailey is 152.09 cm.,Bailey,0,0.962214916507388,0.11360015501289844,6.568972587487436e-5,0
Clark is 152.11 cm.,Clark,0,0.9615120442836466,0.1146015796197773,6.594254402048975e-5,0
Clark is 152.12 cm tall.,Clark,0,0.9611565591453838,0.11510563721162378,6.606936343099445e-5,0
Javier is 152.15 cm.,Javier,0,0.9600737272137903,0.11663129678428699,6.645147091722518e-5,0
Arthur 's height is 152.16 cm.,Arthur,0,0.9597072741517277,0.11714437501394898,6.65793920365828e-5,0
Sophia 's height is 152.17 cm.,Sophia,0,0.9593380413708479,0.11765973052237463,6.670759024181579e-5,0
Myles 's height is 152.18 cm.,Myles,0,0.9589660137348933,0.11817737218839741,6.683606619990268e-5,0
Larry 's height is 152.19 cm.,Larry,0,0.9585911760884177,0.11869730890599409,6.696482057958963e-5,0
Katie 's height is 152.2 cm.,Katie,0,0.9582135132575917,0.11921954958403284,6.70938540513936e-5,0
Diane is 152.21 cm.,Diane,0,0.9578330100510125,0.11974410314602663,6.72231672876083e-5,0
Addison is 152.22 cm.,Addison,0,0.9574496512605325,0.1202709785298738,6.735276096230828e-5,0
Mabel 's height is 152.23 cm.,Mabel,0,0.957063421662084,0.12080018468760965,6.748263575135598e-5,0
Shelley 's height is 152.24 cm.,Shelley,0,0.9566743060165349,0.1213317305851334,6.761279233240439e-5,0
Jocelyn 's height is 152.25 cm.,Jocelyn,0,0.9562822890705368,0.12186562520195128,6.774323138490487e-5,0
Miguel is 152.26 cm.,Miguel,0,0.9558873555573968,0.12240187753090018,6.787395359011043e-5,0
Noah is 152.27 cm.,Noah,0,0.9554894901979557,0.12294049657787362,6.80049596310819e-5,0
Damon is 152.28 cm.,Damon,0,0.9550886777014767,0.12348149136154421,6.813625019269295e-5,0
Will is 152.29 cm.,Will,0,0.9546849027665497,0.12402487091307421,6.82678259616348e-5,0
Harper 's height is 152.31 cm.,Harper,0,0.9538684043278223,0.12511882050509757,6.853183587739718e-5,0
Leslie 's height is 152.32 cm.,Leslie,0,0.9534556501760939,0.1256694086677684,6.86642714067385e-5,0
Rick 's height is 152.33 cm.,Rick,0,0.953039872291945,0.12622241784205135,6.879699490846179e-5,0
Cassidy is 152.35 cm tall.,Cassidy,0,0.9521991839578754,0.1273357355930032,6.90633086143481e-5,0
Chelsea is 152.36 cm tall.,Chelsea,0,0.9517742428121108,0.12789606237986262,6.919690021578663e-5,0
Alex is 152.37 cm tall.,Alex,0,0.9513462165442074,0.12845884659808446,6.933078258417074e-5,0
Derrick is 152.38 cm tall.,Derrick,0,0.9509150897991113,0.12902409737774426,6.946495642279263e-5,0
Victor is 152.39 cm tall.,Victor,0,0.9504808472207327,0.12959182385831985,6.959942243681621e-5,0
Geraldine 's height is 152.4 cm.,Geraldine,0,0.9500434734529707,0.13016203518835756,6.973418133328235e-5,0
Sylvester is 152.43 cm.,Sylvester,0,0.9487124114741526,0.1318876698895066,7.0140222416006e-5,0
Janice 's height is 152.44 cm.,Janice,0,0.9482623594242752,0.13246791227216675,7.027615995037416e-5,0
Everett 's height is 152.45 cm.,Everett,0,0.9478090994411312,0.13305068537094283,7.041239393073125e-5,0
Daryl is 152.46 cm tall.,Daryl,0,0.9473526161907763,0.13363599838147033,7.05489250754942e-5,0
Betsy is 152.51 cm.,Betsy,0,0.9450213148310133,0.136600984397193,7.123606354435899e-5,0
Fred 's height is 152.53 cm.,Fred,0,0.9440656957651605,0.13780508070421277,7.151302444281395e-5,0
Maurice is 152.54 cm tall.,Maurice,0,0.9435828754934014,0.13841104476144261,7.165195899683494e-5,0
Scarlett is 152.55 cm tall.,Scarlett,0,0.9430966944232806,0.13901963174125895,7.179119726787321e-5,0
Trevor 's height is 152.56 cm.,Trevor,0,0.9426071373476261,0.13963085088762256,7.193073999375191e-5,0
Myles 's height is 152.57 cm.,Myles,0,0.9421141890784795,0.1402447114470886,7.207058791426587e-5,0
Ivy is 152.58 cm tall.,Ivy,0,0.941617834448329,0.14086122266837986,7.221074177118723e-5,0
Eliza is 152.59 cm tall.,Eliza,0,0.9411180583113542,0.14148039380195476,7.235120230827216e-5,0
Claude is 152.6 cm tall.,Claude,0,0.9406148455446859,0.1421022340995625,7.249197027126497e-5,0
Daisy 's height is 152.62 cm.,Daisy,0,0.9395980497531551,0.14335395919767557,7.277443146793315e-5,0
Jonathan is 152.63 cm.,Jonathan,0,0.939084436608764,0.14398386250412548,7.291612620309656e-5,0
Johnnie is 152.64 cm tall.,Johnnie,0,0.9385673265982175,0.1446164719855754,7.305813136715491e-5,0
Abraham 's height is 152.65 cm.,Abraham,0,0.9380467047326342,0.14525179689346446,7.320044771588649e-5,0
Ashton 's height is 152.68 cm.,Ashton,0,0.9364636185857758,0.1471741566653451,7.362927145829601e-5,0
Alice is 152.69 cm.,Alice,0,0.9359288000458509,0.14782043575693338,7.377284014407181e-5,0
Dora is 152.71 cm tall.,Dora,0,0.934848389246647,0.14912128813164802,7.406092326577089e-5,0
Leslie is 152.72 cm tall.,Leslie,0,0.934302767457702,0.14977587988109714,7.420543923977893e-5,0
Pablo is 152.73 cm.,Pablo,0,0.9337535151223134,0.1504332609749407,7.435027251805584e-5,0
Charlie 's height is 152.74 cm.,Charlie,0,0.9332006175771096,0.15109344063373056,7.449542387481166e-5,0
Anita is 152.76 cm tall.,Anita,0,0.9320838284208404,0.15242223249792394,7.478668393100054e-5,0
Kaitlyn is 152.77 cm.,Kaitlyn,0,0.9315199077044193,0.1530908631123804,7.493279418927021e-5,0
Robin is 152.78 cm.,Robin,0,0.9309522835703627,0.15376232910880944,7.507922564370473e-5,0
Allen 's height is 152.79 cm.,Allen,0,0.9303809415853748,0.15443663967245483,7.522597907896638e-5,0
Tucker is 152.8 cm.,Tucker,0,0.9298058673665529,0.15511380397985192,7.537305528182599e-5,0
Tommy is 152.81 cm.,Tommy,0,0.9292270465828667,0.15579383119826706,7.552045504117016e-5,0
Gary is 152.82 cm tall.,Gary,0,0.9286444649566569,0.15647673048512267,7.566817914800647e-5,0
Bianca is 152.83 cm tall.,Bianca,0,0.9280581082651349,0.15716251098742287,7.58162283954696e-5,0
Ira 's height is 152.84 cm.,Ira,0,0.9274679623418948,0.15785118184117353,7.59646035788286e-5,0
Jeffrey is 152.85 cm tall.,Jeffrey,0,0.9268740130784399,0.15854275217078717,7.611330549549128e-5,0
Erin is 152.86 cm.,Erin,0,0.926276246425711,0.1592372310884928,7.62623349450117e-5,0
Lilly is 152.87 cm tall.,Lilly,0,0.9256746483956243,0.15993462769373787,7.641169272909742e-5,0
Jill 's height is 152.88 cm.,Jill,0,0.9250692050626267,0.16063495107257492,7.656137965161405e-5,0
Delaney 's height is 152.89 cm.,Delaney,0,0.9244599025652537,0.1613382102970496,7.67113965185927e-5,0
Dorothy is 152.91 cm.,Dorothy,0,0.9232296649613867,0.1627535724973289,7.70124233209237e-5,0
Hector is 152.95 cm.,Hector,0,0.9207222773594702,0.165619924514186,7.761847196631237e-5,0
Jacob 's height is 152.96 cm.,Jacob,0,0.9200855783055676,0.1663439873668417,7.777082119660357e-5,0
Willis is 152.98 cm.,Willis,0,0.9188002643083151,0.16780114551515846,7.80765298972573e-5,0
Tracy 's height is 152.99 cm.,Tracy,0,0.918151623019072,0.16853425862486152,7.822989102146138e-5,0
Max is 153 cm tall.,Max,0,0.917498974774079,0.16927040626609274,7.838359110120073e-5,0
Bertha 's height is 153.01 cm.,Bertha,0,0.9168423066057605,0.17000959729254156,7.85376309689899e-5,0
Adrian is 153.02 cm tall.,Adrian,0,0.9161816056316825,0.17075184053531217,7.869201145959315e-5,0
Bridget 's height is 153.03 cm.,Bridget,0,0.9155168590562253,0.17149714480221945,7.884673341003089e-5,0
Barbara 's height is 153.04 cm.,Barbara,0,0.9148480541722696,0.17224551887707007,7.900179765958576e-5,0
Trevor is 153.05 cm tall.,Trevor,0,0.9141751783628821,0.17299697151894589,7.915720504980949e-5,0
Leah is 153.06 cm tall.,Leah,0,0.9134982191030053,0.17375151146148327,7.931295642453083e-5,0
Danny 's height is 153.07 cm.,Danny,0,0.9128171639611652,0.1745091474121327,7.946905262986112e-5,0
Brett 's height is 153.09 cm.,Brett,0,0.9114427167838557,0.17603374203220826,7.97822829282478e-5,0
Carolina is 153.1 cm tall.,Carolina,0,0.9107493003687445,0.17680071797892472,7.99394187250014e-5,0
Alex 's height is 153.11 cm.,Alex,0,0.9100517393158327,0.17757082448681843,8.009690275977121e-5,0
May is 153.15 cm.,May,0,0.9072198115386803,0.18068272697061363,8.073033846644676e-5,0
Raul 's height is 153.16 cm.,Raul,0,0.9065013503337148,0.18146861413765117,8.088957660227487e-5,0
Marian is 153.18 cm tall.,Marian,0,0.9050517726221392,0.18304994127001414,8.120911400190686e-5,0
Brian is 153.19 cm.,Brian,0,0.904320633653713,0.1838453979380421,8.136941501141838e-5,0
Eileen is 153.21 cm tall.,Eileen,0,0.9028456002058943,0.18544593896329487,8.16910860318835e-5,0
Muriel is 153.22 cm tall.,Muriel,0,0.9021016839672118,0.1862510398027349,8.185245780279849e-5,0
Clinton is 153.23 cm tall.,Clinton,0,0.9013534870805051,0.18705937178403237,8.201418825812741e-5,0
Bonnie 's height is 153.24 cm.,Bonnie,0,0.9006009989708355,0.1878709430507717,8.217627828383701e-5,0
Hudson is 153.27 cm.,Hudson,0,0.8983176834416435,0.19032517338626206,8.266471467908133e-5,0
Graham is 153.28 cm.,Graham,0,0.89754792721924,0.19114978240689087,8.282825189424632e-5,0
Stanley 's height is 153.29 cm.,Stanley,0,0.8967738288112201,0.19197767080545783,8.299215314588449e-5,0
Bernard is 153.3 cm.,Bernard,0,0.8959953784199945,0.1928088464692383,8.31564193345149e-5,0
Mario is 153.31 cm.,Mario,0,0.8952125663837966,0.19364331723969802,8.332105136310813e-5,0
Christie is 153.33 cm.,Christie,0,0.8936338194193358,0.19532217523201129,8.365141656436082e-5,0
Ana 's height is 153.34 cm.,Ana,0,0.8928378658628349,0.19616657789956268,8.381715155527975e-5,0
Olivia is 153.35 cm tall.,Olivia,0,0.8920375134084803,0.197014306563345,8.39832560226942e-5,0
Betty 's height is 153.36 cm.,Betty,0,0.8912327531005717,0.1978653688220727,8.41497308819364e-5,0
Hope is 153.37 cm tall.,Hope,0,0.8904235761300011,0.19871977222313425,8.43165770508344e-5,0
Reagan is 153.38 cm tall.,Reagan,0,0.8896099738360528,0.1995775242616432,8.448379544971739e-5,0
Tyson is 153.39 cm.,Tyson,0,0.8887919377081911,0.20043863237949155,8.465138700142445e-5,0
Julia is 153.4 cm.,Julia,0,0.8879694593878514,0.20130310396439674,8.481935263131162e-5,0
Vicky is 153.41 cm tall.,Vicky,0,0.8871425306702362,0.20217094634892943,8.498769326725837e-5,0
Mckenna 's height is 153.44 cm.,Mckenna,0,0.8846349624296156,0.20479477077860278,8.54949745282847e-5,0
Gerald is 153.45 cm tall.,Gerald,0,0.8837901532125646,0.20567616855060514,8.566482451802476e-5,0
Alan is 153.46 cm.,Alan,0,0.8829408549430772,0.20656097292391531,8.583505419135628e-5,0
Jonah 's height is 153.47 cm.,Jonah,0,0.8820870603763449,0.2074491908797096,8.600566449146354e-5,0
Brianna is 153.48 cm.,Brianna,0,0.8812287624337561,0.20834082933712222,8.617665636411014e-5,0
Olive 's height is 153.49 cm.,Olive,0,0.8803659542046774,0.20923589515221339,8.634803075764335e-5,0
Hazel is 153.5 cm tall.,Hazel,0,0.879498628948196,0.21013439511696666,8.651978862300432e-5,0
Kent 's height is 153.51 cm.,Kent,0,0.8786267800948829,0.2110363359582554,8.669193091373482e-5,0
Phyllis 's height is 153.52 cm.,Phyllis,0,0.8777504012485382,0.21194172433681355,8.686445858598467e-5,0
Bryson is 153.54 cm tall.,Bryson,0,0.8759840288685478,0.21376287001175354,8.721067391273181e-5,0
Brenda 's height is 153.56 cm.,Brenda,0,0.8741994641692985,0.2155978840653017,8.755844230490782e-5,0
Jeremiah is 153.57 cm tall.,Jeremiah,0,0.8733003455994784,0.21652060765340844,8.77329113188438e-5,0
Trinity is 153.58 cm.,Trinity,0,0.8723966623944022,0.21744681729576937,8.790777150641271e-5,0
Trent 's height is 153.59 cm.,Trent,0,0.8714884094189119,0.21837651916077666,8.808302384224334e-5,0
Celia is 153.61 cm.,Celia,0,0.8696581745526849,0.22024642385819107,8.843470887056462e-5,0
Reginald 's height is 153.62 cm.,Reginald,0,0.8687361833332932,0.22118663865003682,8.861114352570043e-5,0
Stephanie is 153.63 cm.,Stephanie,0,0.8678096036895239,0.22213036958121987,8.878797425440345e-5,0
Tracey 's height is 153.64 cm.,Tracey,0,0.8668784314379093,0.22307762243624013,8.896520204473897e-5,0
Kylie is 153.65 cm.,Kylie,0,0.8659426625902993,0.22402840291952933,8.914282788748399e-5,0
Viola is 153.66 cm tall.,Viola,0,0.8650022933555106,0.2249827166543289,8.932085277613412e-5,0
Dalton is 153.67 cm tall.,Dalton,0,0.8640573201409344,0.225940569181595,8.94992777069145e-5,0
Delilah 's height is 153.68 cm.,Delilah,0,0.8631077395541762,0.22690196595885573,8.967810367878426e-5,0
Doris is 153.69 cm.,Doris,0,0.8621535484046401,0.22786691235910464,8.985733169344855e-5,0
Annette is 153.71 cm tall.,Annette,0,0.8602313226734506,0.22980747509103397,9.021699787174901e-5,0
Teresa is 153.72 cm.,Teresa,0,0.8592632827339359,0.2307831017357837,9.039743805258888e-5,0
Clarence is 153.74 cm tall.,Clarence,0,0.8573133368708705,0.23274507069905903,9.075953766147589e-5,0
Emma is 153.75 cm.,Emma,0,0.8563314268427155,0.23373142279264308,9.094119912341522e-5,0
Katharine is 153.76 cm.,Katharine,0,0.8553448897005601,0.2347213596574169,9.112326971761219e-5,0
Benny is 153.77 cm tall.,Benny,0,0.8543537239245902,0.23571488594894524,9.130575046802311e-5,0
Hilda is 153.79 cm.,Hilda,0,0.852357501471853,0.23771272495895157,9.167194654741771e-5,0
Roger 's height is 153.81 cm.,Roger,0,0.85034275166614,0.2397249751484367,9.203979560978482e-5,0
Kelvin is 153.82 cm.,Kelvin,0,0.8493284275241424,0.2407365150452977,9.222434259958015e-5,0
Marcos 's height is 153.83 cm.,Marcos,0,0.8483094702098598,0.24175167026868008,9.240930594882808e-5,0
Lana is 153.85 cm tall.,Lana,0,0.8462576563715396,0.243792842458563,9.27804859040403e-5,0
Collin is 153.86 cm tall.,Collin,0,0.8452248005665601,0.2448188670477476,9.29667046063884e-5,0
Donovan is 153.87 cm tall.,Donovan,0,0.8441873130300955,0.245848522206438,9.315334386097621e-5,0
Allison 's height is 153.88 cm.,Allison,0,0.8431451946932039,0.2468818114814996,9.334040472324138e-5,0
June is 153.89 cm tall.,June,0,0.8420984467179189,0.2479187383118395,9.352788825153579e-5,0
Carson 's height is 153.9 cm.,Carson,0,0.8410470704985277,0.24895930602720143,9.371579550713402e-5,0
Ana is 153.91 cm tall.,Ana,0,0.8399910676628474,0.25000351784694214,9.390412755424092e-5,0
Jesus 's height is 153.92 cm.,Jesus,0,0.8389304400734464,0.25105137687883994,9.409288546000348e-5,0
Jeremiah is 153.93 cm.,Jeremiah,0,0.8378651898288927,0.2521028861178544,9.428207029451561e-5,0
Tanner is 153.94 cm tall.,Tanner,0,0.8367953192649339,0.2531580484449293,9.447168313083128e-5,0
Jack is 153.97 cm tall.,Jack,0,0.8335580125966343,0.2563454810279123,9.504310042568845e-5,0
Ethel 's height is 153.98 cm.,Ethel,0,0.8324696888972506,0.2574152821933886,9.523443605922301e-5,0
Oscar 's height is 154.01 cm.,Oscar,0,0.8291771029226069,0.2606466886892755,9.581104779732184e-5,0
Tyrone is 154.02 cm tall.,Tyrone,0,0.8280703827330514,0.2617311653481455,9.600412363589853e-5,0
Tim is 154.03 cm tall.,Tim,0,0.8269590741071192,0.2628193156904762,9.619763726835035e-5,0
Billie is 154.05 cm tall.,Billie,0,0.8247227108710645,0.2650066439911342,9.658598233045007e-5,0
Hazel is 154.06 cm tall.,Hazel,0,0.8235976665467204,0.2661058249122033,9.678081597553838e-5,0
Lucille is 154.07 cm.,Lucille,0,0.8224680543593887,0.26720868543974513,9.697609184540026e-5,0
Susie is 154.08 cm tall.,Susie,0,0.8213338800793453,0.2683152267295043,9.717181105545117e-5,0
Caleb is 154.09 cm tall.,Caleb,0,0.8201951497293744,0.26942544980475547,9.736797472420232e-5,0
Tiffany 's height is 154.1 cm.,Tiffany,0,0.8190518695856039,0.27053935555506003,9.756458397326774e-5,0
Tyrone 's height is 154.11 cm.,Tyrone,0,0.8179040461782965,0.27165694473503715,9.776163992737552e-5,0
Emily is 154.12 cm.,Emily,0,0.8167516862926139,0.2727782179631379,9.795914371437773e-5,0
Donna is 154.14 cm tall.,Donna,0,0.814433385505752,0.27503181834923146,9.835549931414417e-5,0
Angie is 154.15 cm tall.,Angie,0,0.8132674594559895,0.2761641460521589,9.855435339831307e-5,0
Eduardo is 154.16 cm tall.,Eduardo,0,0.8120970266320449,0.27730015889060866,9.875365985820332e-5,0
Darrell 's height is 154.17 cm.,Darrell,0,0.8109220951042144,0.2784398567836909,9.895341983742566e-5,0
Perry 's height is 154.18 cm.,Perry,0,0.8097426732017596,0.279583239506949,9.9153634482769e-5,0
Patti 's height is 154.19 cm.,Patti,0,0.8085587695134594,0.2807303066911581,9.935430494421427e-5,0
Jody is 154.2 cm.,Jody,0,0.8073703928881673,0.28188105782109,9.955543237494104e-5,0
Carson is 154.22 cm.,Carson,0,0.8049802575254446,0.28419360911989494,9.995906277301633e-5,0
Quentin is 154.23 cm.,Quentin,0,0.8037785177905739,0.28535540751734406,1.0016156806281026e-4,0
Johanna is 154.24 cm tall.,Johanna,0,0.8025723431247157,0.2865208863152388,1.0036453496679623e-4,0
Lilly 's height is 154.25 cm.,Lilly,0,0.8013617436842146,0.2876900442501079,1.0056796465429916e-4,0
Marco is 154.26 cm tall.,Marco,0,0.8001467298881315,0.2888628799051992,1.007718582979023e-4,0
Kay 's height is 154.27 cm.,Kay,0,0.7989273124185725,0.2900393917092796,1.009762170734568e-4,0
Andres is 154.28 cm tall.,Andres,0,0.7977035022209865,0.2912195779354426,1.0118104216009306e-4,0
Mateo is 154.29 cm.,Mateo,0,0.796475310504444,0.292403436699903,1.0138633474022829e-4,0
Elsie 's height is 154.3 cm.,Elsie,0,0.795242748741869,0.293590965960814,1.0159209599957797e-4,0
Dorothy is 154.31 cm.,Dorothy,0,0.7940058286702356,0.2947821635170875,1.0179832712716733e-4,0
Kimberly 's height is 154.32 cm.,Kimberly,0,0.7927645622907529,0.29597702700720524,1.0200502931533893e-4,0
Calvin 's height is 154.33 cm.,Calvin,0,0.7915189618689994,0.29717555390804495,1.0221220375976427e-4,0
Holly 's height is 154.35 cm.,Holly,0,0.7890148092834542,0.29958358703437094,1.0262797421676506e-4,0
Emmett 's height is 154.37 cm.,Emmett,0,0.7864934743289091,0.3020062394346483,1.0304564813049282e-4,0
Clark is 154.39 cm.,Clark,0,0.7839550646539918,0.3044434849874737,1.0346523518718144e-4,0
Jennie is 154.4 cm tall.,Jennie,0,0.782679491593848,0.3056675712967864,1.0367574918590575e-4,0
Angelo is 154.41 cm tall.,Angelo,0,0.7813996921392955,0.306895294874805,1.038867451273013e-4,0
Madison is 154.42 cm.,Madison,0,0.7801156809360631,0.30812665169199016,1.0409822423745673e-4,0
Lance 's height is 154.43 cm.,Lance,0,0.7788274728938258,0.30936163754574836,1.0431018774588967e-4,0
Luther is 154.44 cm.,Luther,0,0.7775350831859502,0.31060024805934827,1.0452263688556168e-4,0
Shannon is 154.45 cm.,Shannon,0,0.7762385272492418,0.3118424786808087,1.0473557289288552e-4,0
Natalie is 154.46 cm.,Natalie,0,0.7749378207836358,0.31308832468181547,1.0494899700773802e-4,0
Earl is 154.47 cm tall.,Earl,0,0.7736329797518774,0.31433778115662364,1.0516291047346707e-4,0
Selena is 154.48 cm tall.,Selena,0,0.772324020379122,0.3155908430210105,1.0537731453690758e-4,0
Jo is 154.49 cm tall.,Jo,0,0.7710109591525608,0.316847505011181,1.0559221044838637e-4,0
Bailey is 154.5 cm tall.,Bailey,0,0.7696938128209508,0.31810776168273724,1.0580759946173748e-4,0
Diana is 154.51 cm tall.,Diana,0,0.7683725983941533,0.31937160740961823,1.060234828343108e-4,0
Floyd 's height is 154.54 cm.,Floyd,0,0.7643847205467194,0.3231846199149938,1.0667411173382915e-4,0
Preston 's height is 154.55 cm.,Preston,0,0.763047409041083,0.32446276193327594,1.0689198518748712e-4,0
Nolan is 154.56 cm tall.,Nolan,0,0.7617061183868639,0.3257444621157361,1.071103593402352e-4,0
Virginia 's height is 154.57 cm.,Virginia,0,0.7603608671485022,0.32702971372493256,1.0732923547074666e-4,0
Glenn is 154.58 cm tall.,Glenn,0,0.7590116741471963,0.3283185098347232,1.0754861486128746e-4,0
Harriet is 154.6 cm.,Harriet,0,0.756301539419716,0.33090670690225604,1.0798888856954739e-4,0
Todd is 154.61 cm tall.,Todd,0,0.7549406366126887,0.33220609305559795,1.0820978546985692e-4,0
David is 154.62 cm.,David,0,0.7535758698792897,0.3335089940988838,1.0843119079540064e-4,0
Warren is 154.63 cm tall.,Warren,0,0.7522072593123391,0.3348154021482706,1.0865310584657118e-4,0
Logan 's height is 154.64 cm.,Logan,0,0.7508348252562956,0.3361253091256225,1.0887553192741954e-4,0
Ezra is 154.65 cm tall.,Ezra,0,0.7494585883062722,0.3374387067576271,1.0909847034566741e-4,0
Cheryl 's height is 154.66 cm.,Cheryl,0,0.7480785693070386,0.33875558657490745,1.0932192241271612e-4,0
Clinton 's height is 154.67 cm.,Clinton,0,0.7466947893519408,0.3400759399111852,1.095458894436618e-4,0
Travis 's height is 154.68 cm.,Travis,0,0.745307269781847,0.3413997579024076,1.0977037275730191e-4,0
Frederick is 154.69 cm.,Frederick,0,0.7439160321839975,0.3427270314859394,1.0999537367615152e-4,0
Alan is 154.7 cm tall.,Alan,0,0.742521098390862,0.3440577513997307,1.1022089352645123e-4,0
Brett is 154.71 cm tall.,Brett,0,0.7411224904789375,0.3453919081815222,1.1044693363818093e-4,0
Joan is 154.72 cm tall.,Joan,0,0.7397202307675361,0.34672949216804094,1.1067349534506781e-4,0
Raven 's height is 154.73 cm.,Raven,0,0.7383143418174918,0.3480704934942563,1.1090057998460323e-4,0
Willis 's height is 154.74 cm.,Willis,0,0.7369048464298915,0.34941490209259196,1.1112818889804842e-4,0
Ernest 's height is 154.75 cm.,Ernest,0,0.7354917676447142,0.35076270769221185,1.1135632343045086e-4,0
Kendall is 154.76 cm tall.,Kendall,0,0.7340751287394742,0.35211389981828045,1.1158498493065383e-4,0
Penny is 154.77 cm.,Penny,0,0.7326549532278132,0.3534684677912591,1.1181417475130775e-4,0
Trinity 's height is 154.78 cm.,Trinity,0,0.731231264858056,0.354826400726217,1.1204389424888361e-4,0
Charles 's height is 154.79 cm.,Charles,0,0.7298040876117478,0.3561876875321478,1.12274144783682e-4,0
Josephine is 154.8 cm.,Josephine,0,0.728373445702137,0.3575523169113191,1.1250492771984641e-4,0
Rosa 's height is 154.81 cm.,Rosa,0,0.7269393635726237,0.3589202773586415,1.1273624442537688e-4,0
Taylor is 154.82 cm tall.,Taylor,0,0.7255018658951928,0.3602915571610345,1.1296809627213903e-4,0
Edith 's height is 154.84 cm.,Edith,0,0.7226167237177225,0.36304402693518695,1.134334108962281e-4,0
Gordon is 154.85 cm.,Gordon,0,0.7211691296898883,0.36442519243552074,1.1366687643672761e-4,0
Alan is 154.86 cm tall.,Alan,0,0.7197182210551598,0.36580962834695807,1.1390088264482801e-4,0
Claude is 154.87 cm.,Claude,0,0.7182640236035781,0.3671973219078185,1.1413543091190875e-4,0
George is 154.88 cm.,George,0,0.7168065633435967,0.3685882601450969,1.14370522633288e-4,0
Irving 's height is 154.89 cm.,Irving,0,0.7153458665002657,0.3699824298739776,1.1460615920823462e-4,0
Gabriel is 154.9 cm tall.,Gabriel,0,0.7138819595133843,0.37137981769737055,1.1484234203998124e-4,0
Sandy 's height is 154.91 cm.,Sandy,0,0.7124148690356414,0.37278041000544837,1.1507907253573446e-4,0
Georgia is 154.92 cm tall.,Georgia,0,0.7109446219306779,0.37418419297524685,1.1531635210669067e-4,0
Nadia is 154.93 cm tall.,Nadia,0,0.7094712452711811,0.37559115257022635,1.1555418216804427e-4,0
Duane is 154.94 cm tall.,Duane,0,0.7079947663368839,0.3770012745399166,1.1579256413900368e-4,0
Brad is 154.96 cm tall.,Brad,0,0.7050326117860778,0.3798309475296598,1.1627098950670868e-4,0
Elena 's height is 154.98 cm.,Elena,0,0.702058380580471,0.38267309364854496,1.1675163964418969e-4,0
Gracie is 154.99 cm.,Gracie,0,0.7005668065733889,0.38409880622244064,1.1699280259260294e-4,0
Evan is 155 cm.,Evan,0,0.6990722982038853,0.3855275911565766,1.1723452605082831e-4,0
Terry 's height is 155.01 cm.,Terry,0,0.6975748841433383,0.38695943269393634,1.1747681146651091e-4,0
Hailey 's height is 155.03 cm.,Hailey,0,0.6945714545833547,0.38983222146894814,1.1796307398140428e-4,0
Lauren is 155.04 cm.,Lauren,0,0.6930654973686609,0.3912731361107269,1.182070539965203e-4,0
Christie is 155.05 cm.,Christie,0,0.6915567510278494,0.39271704216368664,1.1845160180092841e-4,0
Derek is 155.06 cm.,Derek,0,0.69004524516059,0.39416392278809687,1.1869671886296665e-4,0
Cecil 's height is 155.07 cm.,Cecil,0,0.6885310095452746,0.39561376092732586,1.1894240665514902e-4,0
Josiah is 155.08 cm tall.,Josiah,0,0.6870140741366353,0.3970665393077815,1.1918866665417999e-4,0
Isabel is 155.09 cm tall.,Isabel,0,0.6854944690633384,0.3985222404388828,1.1943550034096734e-4,0
Shelley is 155.1 cm.,Shelley,0,0.6839722246255665,0.39998084661303435,1.1968290920063359e-4,0
Jeremy is 155.12 cm.,Jeremy,0,0.68091993970011,0.4029067021752023,1.201794584002541e-4,0
Erica is 155.13 cm.,Erica,0,0.6793899606481048,0.4043739150632735,1.2042860173165412e-4,0
Toni is 155.15 cm.,Toni,0,0.6763224841700768,0.40731681817747045,1.2092863336824215e-4,0
Carl is 155.16 cm tall.,Carl,0,0.6747850491412896,0.4087924706033002,1.2117952469052678e-4,0
Cheyenne is 155.17 cm.,Cheyenne,0,0.6732451914422269,0.41027089804738687,1.2143100170070953e-4,0
Angelina is 155.18 cm tall.,Angelina,0,0.6717029426547326,0.41175208106879696,1.2168306591811626e-4,0
Elmer 's height is 155.19 cm.,Elmer,0,0.6701583345091887,0.4132360000106792,1.2193571886640988e-4,0
Don is 155.2 cm.,Don,0,0.6686113988818714,0.4147226350004989,1.2218896207360182e-4,0
Lucy 's height is 155.21 cm.,Lucy,0,0.6670621677922557,0.41621196595032733,1.2244279707206696e-4,0
Theodore is 155.22 cm tall.,Theodore,0,0.665510673400329,0.4177039725571347,1.2269722539855378e-4,0
Hailey is 155.23 cm.,Hailey,0,0.6639569480038331,0.41919863430315263,1.2295224859420383e-4,0
Neal is 155.24 cm.,Neal,0,0.6624010240355553,0.4206959304562085,1.2320786820455888e-4,0
Constance 's height is 155.25 cm.,Constance,0,0.6608429340605332,0.42219584007014493,1.2346408577957997e-4,0
